"XOM","Exxon Mobil Corpo","2/15/2012",84.12,2.22,10.06
"BBD-B.TO","BOMBARDIER INC., ","2/15/2012",4.65,2.12,9.81
"JNJ","Johnson & Johnson","2/15/2012",64.65,3.48,18.51
"MSFT","Microsoft Corpora","2/15/2012",30.05,2.38,10.96
